,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
135,Armenia,482.0,3.0,30.0,449.0,2020-03-30,11,58.0,0.1367924528301887
136,Azerbaijan,273.0,4.0,26.0,243.0,2020-03-30,4,64.0,0.30622009569377995
137,Georgia,103.0,0.0,20.0,83.0,2020-03-30,0,12.0,0.13186813186813184
138,Kazakhstan,302.0,1.0,21.0,280.0,2020-03-30,4,18.0,0.06338028169014076
139,Kyrgyzstan,94.0,0.0,3.0,91.0,2020-03-30,-1,10.0,0.11904761904761907
140,Uzbekistan,149.0,2.0,7.0,140.0,2020-03-30,2,5.0,0.03472222222222232
141,Armenia,532.0,3.0,30.0,499.0,2020-03-31,12,50.0,0.10373443983402497
142,Azerbaijan,298.0,5.0,26.0,267.0,2020-03-31,5,25.0,0.09157509157509147
143,Georgia,110.0,0.0,21.0,89.0,2020-03-31,1,7.0,0.06796116504854366
144,Kazakhstan,343.0,2.0,24.0,317.0,2020-03-31,5,41.0,0.13576158940397343
145,Kyrgyzstan,107.0,0.0,3.0,104.0,2020-03-31,0,13.0,0.13829787234042556
146,Uzbekistan,172.0,2.0,7.0,163.0,2020-03-31,3,23.0,0.15436241610738266
147,Armenia,571.0,4.0,31.0,536.0,2020-04-01,13,39.0,0.07330827067669166
148,Azerbaijan,359.0,5.0,26.0,328.0,2020-04-01,6,61.0,0.2046979865771812
149,Georgia,117.0,0.0,23.0,94.0,2020-04-01,2,7.0,0.06363636363636371
150,Kazakhstan,380.0,3.0,26.0,351.0,2020-04-01,6,37.0,0.10787172011661816
151,Kyrgyzstan,111.0,0.0,3.0,108.0,2020-04-01,1,4.0,0.03738317757009346
152,Uzbekistan,181.0,2.0,12.0,167.0,2020-04-01,4,9.0,0.05232558139534893
153,Armenia,663.0,7.0,33.0,623.0,2020-04-02,14,92.0,0.16112084063047294
154,Azerbaijan,400.0,5.0,26.0,369.0,2020-04-02,7,41.0,0.11420612813370479
155,Georgia,134.0,0.0,26.0,108.0,2020-04-02,3,17.0,0.14529914529914523
